country,date,Renewable Energy Consumption (TJ)
Swaziland,2015,23521.78
Sweden,2015,679811.9
Switzerland,2015,195365.5
Syrian Arab Republic,2015,1299.0
"Taiwan, China",2015,41598.43
Tajikistan,2015,44129.53
Tanzania,2015,804531.9
Thailand,2015,722010.9
Timor-Leste,2015,886.095
Togo,2015,65965.75
Tonga,2015,23.7621
Trinidad and Tobago,2015,488.5158
Tunisia,2015,39988.56
Turkey,2015,485424.7
Turkmenistan,2015,307.981
Turks and Caicos Islands,2015,6.782585
Tuvalu,2015,0.0
Uganda,2015,471009.0
Ukraine,2015,82440.89
United Arab Emirates,2015,2869.892
United Kingdom,2015,429157.5
United States,2015,5097931.0
Uruguay,2015,107022.2
Uzbekistan,2015,34727.39
Vanuatu,2015,873.3834
"Venezuela, RB",2015,195468.2
Vietnam,2015,800189.5
Virgin Islands (U.S.),2015,91.50184
West Bank and Gaza,2015,6701.55
Western Sahara,2015,0.0
"Yemen, Rep.",2015,2433.201
Zambia,2015,301679.8
Zimbabwe,2015,324422.6
