country,date,Renewable Energy Consumption (TJ)
Slovenia,2016,
Slovenia,2015,40762.94
Slovenia,2014,42618.89
Slovenia,2013,43920.92
Slovenia,2012,40214.33
Slovenia,2011,38904.87
Slovenia,2010,40917.03
Slovenia,2009,38311.66
Slovenia,2008,30358.91
Slovenia,2007,28682.43
Slovenia,2006,29707.29
