country,date,Renewable Energy Consumption (TJ)
Romania,2016,
Romania,2015,211769.1
Romania,2014,216582.3
Romania,2013,206941.3
Romania,2012,202338.2
Romania,2011,194702.7
Romania,2010,220239.0
Romania,2009,201245.8
Romania,2008,204146.4
Romania,2007,175916.3
Romania,2006,172924.7
