country,date,Renewable Energy Consumption (TJ)
Slovak Republic,2016,
Slovak Republic,2015,50516.66
Slovak Republic,2014,45203.45
Slovak Republic,2013,42541.89
Slovak Republic,2012,40631.27
Slovak Republic,2011,42163.81
Slovak Republic,2010,44596.76
Slovak Republic,2009,40395.97
Slovak Republic,2008,33595.95
Slovak Republic,2007,35058.36
Slovak Republic,2006,27772.28
