country,date,Renewable Energy Consumption (TJ)
Luxembourg,2016,
Luxembourg,2015,13392.29
Luxembourg,2014,10395.83
Luxembourg,2013,9008.533
Luxembourg,2012,6621.974
Luxembourg,2011,6095.948
Luxembourg,2010,5982.91
Luxembourg,2009,5739.787
Luxembourg,2008,6569.038
Luxembourg,2007,5968.012
Luxembourg,2006,3520.942
