country,date,Renewable Energy Consumption (TJ)
Estonia,2016,
Estonia,2015,31570.59
Estonia,2014,29454.4
Estonia,2013,29150.83
Estonia,2012,29590.75
Estonia,2011,29327.5
Estonia,2010,30232.7
Estonia,2009,27581.05
Estonia,2008,25571.22
Estonia,2007,23621.78
Estonia,2006,20375.07
